Country Name,Year,GDP per Capita Growth
Bangladesh,2008-01-01,5.07673024638913
Bangladesh,2009-01-01,4.12468581228904
Bangladesh,2010-01-01,4.37348466383585
Bangladesh,2011-01-01,5.17452087670409
Bangladesh,2012-01-01,5.20499111861467
Belgium,1990-01-01,2.83026797508926
Belgium,1991-01-01,1.45537172593085
Belgium,1992-01-01,1.11956586015553
Belgium,1993-01-01,-1.34799970972101
Belgium,1994-01-01,2.90931876907965
Belgium,1995-01-01,2.17055027384056
Belgium,1996-01-01,1.12366901833482
Belgium,1997-01-01,3.54278906412047
Belgium,1998-01-01,1.7443238954726
Belgium,1999-01-01,3.30570651382183
Belgium,2000-01-01,3.46545257130404
Belgium,2001-01-01,0.752482909593709
Belgium,2002-01-01,1.25198460635012
Belgium,2003-01-01,0.615879780344869
Belgium,2004-01-01,3.12392891839559
Belgium,2005-01-01,1.76045559407572
Belgium,2006-01-01,1.87818319997308
Belgium,2007-01-01,2.91833834881372
Belgium,2008-01-01,-0.343452718095421
Belgium,2009-01-01,-2.80592074025158
Belgium,2010-01-01,1.928764195703
Belgium,2011-01-01,0.38003456979618
Belgium,2012-01-01,0.11640257847661
Belize,1990-01-01,7.13993144232515
Belize,1991-01-01,9.45695034459189
Belize,1992-01-01,10.4631194861709
Belize,1993-01-01,4.01815647247656
Belize,1994-01-01,-2.15598031507835
Belize,1995-01-01,-1.81201795636763
Belize,1996-01-01,-1.92245644187381
Belize,1997-01-01,0.741037915888086
Belize,1998-01-01,0.294527001396048
Belize,1999-01-01,5.74367065715182
Belize,2000-01-01,8.6582482335148
Belize,2001-01-01,1.73753558748022
Belize,2002-01-01,2.15171000583069
Belize,2003-01-01,6.33744208286564
Belize,2004-01-01,1.65027562537297
Belize,2005-01-01,-0.787504099918522
Belize,2006-01-01,1.48755171647177
Belize,2007-01-01,0.361898550413997
Belize,2008-01-01,-4.27593252652724
Belize,2009-01-01,-3.14403160040699
Belize,2010-01-01,-1.25406776844827
Belize,2011-01-01,-2.54673530261059
Belize,2012-01-01,1.34853582620697
Benin,1990-01-01,5.71244559420417
Benin,1991-01-01,1.08257117669032
Benin,1992-01-01,-0.149859619960992
Benin,1993-01-01,1.22888348788844
Benin,1994-01-01,-1.72072452945365
Benin,1995-01-01,3.88594239135263
Benin,1996-01-01,1.67829882726042
Benin,1997-01-01,2.70244771564252
Benin,1998-01-01,0.848000050090732
Benin,1999-01-01,2.16959373306796
Benin,2000-01-01,2.68964737900177
Benin,2001-01-01,2.20736492388005
Benin,2002-01-01,1.54895924760953
Benin,2003-01-01,0.37202480236229
Benin,2004-01-01,1.31651203758068
Benin,2005-01-01,-1.46781382104416
Benin,2006-01-01,0.811410156798331
Benin,2007-01-01,2.98205331853927
Benin,2008-01-01,1.84962506949418
Benin,2009-01-01,-0.648436891010405
Benin,2010-01-01,-0.839355823905237
Benin,2011-01-01,-0.007428191688561
Benin,2012-01-01,1.80006449253156
Bermuda,1990-01-01,-0.798461538372536
Bermuda,1991-01-01,-3.03588133852587
Bermuda,1992-01-01,0.666851964311704
Bermuda,1993-01-01,2.4577659243951
Bermuda,1994-01-01,-0.0956975146286823
Bermuda,1995-01-01,3.65476314621027
Bermuda,1996-01-01,1.94694747925466
Bermuda,1997-01-01,3.96372465852386
Bermuda,1998-01-01,3.13962728616335
Bermuda,1999-01-01,2.80572174794659
Bermuda,2000-01-01,8.34832420616188
Bermuda,2001-01-01,6.07136913784475
Bermuda,2002-01-01,-2.11673168104547
Bermuda,2003-01-01,2.73627127446632
Bermuda,2004-01-01,1.65507133528592
Bermuda,2005-01-01,1.01807989701432
Bermuda,2006-01-01,4.94027251942389
Bermuda,2007-01-01,2.76381533456662
Bermuda,2008-01-01,-2.44478025615982
Bermuda,2009-01-01,-6.14862940548659
Bermuda,2010-01-01,-1.73636323640892
Bermuda,2011-01-01,-2.90785082905049
Bermuda,2012-01-01,-5.64726274774529
Bolivia,1990-01-01,2.46741157451369
